"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x994728289427173376",2018-05-10 23:58:00,"x1729679935","dedealmeiidaa","eu achei q era montagem kkkkkkkkkkkkkkkkkkkkk vsf que pala <f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082> A PARTIR DE HOJE, NOS ALMOÇO DE DOMINGO SÓ ENTRA DOLLY NESSA CASA https://t.co/3UBjaTD3zs","Twitter Web Client",,,,TRUE,FALSE,0,0,,,"twitter.com/GABRlELPlNHElR…","https://t.co/3UBjaTD3zs","https://twitter.com/GABRlELPlNHElRO/status/994607355475185664",,,,,,,,,,,"pt","x994607355475185664","Mano, o dono da Dolly foi com um cartaz ""preso pela Coca-cola""

EU TO CHORANDO  AAHAHAHAHAHAAAAHHAHAHAHA https://t.co/XH687JGsOK",,,,,,,,,,,
"x994728278152962048",2018-05-10 23:57:57,"x1296761034","GBLorenzi","Fraudes da Dolly acumulam R$ 4 bilhões, mostra Procuradoria https://t.co/UAdqOT39jh

A única coisa boa da Dolly é o Dollynho, aquele mascotinho sinistro.","Twitter Web Client",,,,FALSE,FALSE,0,0,,,"www1.folha.uol.com.br/mercado/2018/0…","https://t.co/UAdqOT39jh","https://www1.folha.uol.com.br/mercado/2018/05/policia-prende-dono-da-marca-de-refrigerantes-dolly.shtml",,,,,,,,,,,"pt",,,,,,,,,,,,,
"x994728179637129216",2018-05-10 23:57:33,"x3404895501","srta_fofa","@lafaeu @porra__anninha ""mamãe você é amor, é meu exemplo na vida. Eu te ofereço um Dolly, com toda emoção""","Twitter for Android","x994727953811607552","x799783316471824384","lafaeu",FALSE,FALSE,2,0,,,,,,,,,,,,,,"x799783316471824384 108939971","lafaeu porra__anninha","pt",,,,,,,,,,,,,
"x994728172108369920",2018-05-10 23:57:32,"x953038567353266177","RedesCiro","Preso político!

Almoço sem Dolly é fraude! https://t.co/6ZzIDWQb9G","Twitter for Android",,,,TRUE,FALSE,0,0,,,"twitter.com/tdbem/status/9…","https://t.co/6ZzIDWQb9G","https://twitter.com/tdbem/status/994605329320210432",,,,,,,,,,,"pt","x994605329320210432","eu não dei muita bola pra notícia até ver a foto do senhor dolly chegando na delegacia com o cartaz PRESO PELA COCA-COLA https://t.co/6f2wPfiBdT",,,,,,,,,,,
"x994727869845835778",2018-05-10 23:56:19,"x36199608","cachorra_urubu","Gente, entre isso e o dono da Dolly sendo preso com uma placa dizendo que foi perseguição da Coca Cola, o dia hoje tá parecendo um sonho maluco depois de tomar ácido. 8/10","Twitter Web Client",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,
"x994727699351556096",2018-05-10 23:55:39,"x3404895501","srta_fofa","@lafaeu @porra__anninha Dolly é legal.","Twitter for Android","x994727040296333313","x799783316471824384","lafaeu",FALSE,FALSE,1,0,,,,,,,,,,,,,,"x799783316471824384 108939971","lafaeu porra__anninha","pt",,,,,,,,,,,,,
"x994727685556506625",2018-05-10 23:55:36,"x751597528676724736","casaltaandre","Dolly HERÓI https://t.co/PxVgF8DVvg","Twitter for Android",,,,TRUE,FALSE,0,0,,,"twitter.com/guilhotav/stat…","https://t.co/PxVgF8DVvg","https://twitter.com/guilhotav/status/994642589751173120",,,,,,,,,,,"pt","x994642589751173120","@hiagosantosx @SamTadeu Sonegou foi pouco <f0><U+009F><U+0098><U+008D><f0><U+009F><U+0098><U+008D><f0><U+009F><U+0098><U+008D>",,,,,,,,,,,
"x994727569114136576",2018-05-10 23:55:08,"x3652082895","batelo09","Vamos combinar que esse refrigerante Dolly é uma bosta...","Twitter Web Client",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,
"x994727558649450501",2018-05-10 23:55:05,"x704739196175523840","wonkappa","o dono da dolly sonegou foi pouco
codonho vc é meu heroi","Twitter Web Client",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,
"x994727557466648583",2018-05-10 23:55:05,"x3046693269","nanda_giac","@Dolly_Santorini @Tio_william Não quero viver num mundo sem monóculo","Twitter for iPhone","x994727052879253504","x2788464524","Dolly_Santorini",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x2788464524 200363304","Dolly_Santorini Tio_william","pt",,,,,,,,,,,,,
"x994727453464715264",2018-05-10 23:54:40,"x3046693269","nanda_giac","@Dolly_Santorini @Tio_william 169 seguidores meus e 264 seus estão vendo isso tudo... é pior que tirar foto beijando","Twitter for iPhone","x994727007043969025","x2788464524","Dolly_Santorini",FALSE,FALSE,1,0,,,,,,,,,,,,,,"x2788464524 200363304","Dolly_Santorini Tio_william","pt",,,,,,,,,,,,,
"x994727288565567488",2018-05-10 23:54:01,"x3538732217","yangiiiR6","como assim o dono da empresa dolly foi presa, isso eh um assalto à infância dos brasileirinhos","Twitter for iPhone",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,
"x994727269078839296",2018-05-10 23:53:56,"x3100544772","fentylittop","esperando as piadas sobre dolly do daniel daqui pra frente no improvável pqné quem assiste tá ligado que a cada 20 piada 21 ele cita esse refrigerante extremamente amado por todos os brasileiros","Twitter for Android",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,
"x994727254449147904",2018-05-10 23:53:53,"x758843515526709248","gigavira","@zelune Verdade, um abraço tb e um dolly com toda emoção","Twitter for iPhone","x994724817885650949","x57567614","zelune",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x57567614","zelune","pt",,,,,,,,,,,,,
"x994727238552735745",2018-05-10 23:53:49,"x270443360","JesseLuks7","#UrghLivre
#somostodosUrgh
da vontade né  Dolly 
leave Urgh in peace https://t.co/Sv9KixbYzb","Twitter for Android",,,,FALSE,FALSE,0,0,"UrghLivre somostodosUrgh",,,,,"http://pbs.twimg.com/media/Dc37IxMWsAA8i-3.jpg","https://t.co/Sv9KixbYzb","https://twitter.com/JesseLuks7/status/994727238552735745/photo/1","photo","http://pbs.twimg.com/media/Dc37IxMWsAA8i-3.jpg","https://t.co/Sv9KixbYzb","https://twitter.com/JesseLuks7/status/994727238552735745/photo/1",,,,"pt",,,,,,,,,,,,,
"x994727152489848833",2018-05-10 23:53:28,"x3046693269","nanda_giac","@Dolly_Santorini @Google @Gol @Decolar @trivago_br Trivago? Mas eu vou ficar em hostels, menino!","Twitter for iPhone","x994726826625904642","x2788464524","Dolly_Santorini",FALSE,FALSE,1,0,,,,,,,,,,,,,,"x2788464524 20536157 2340204248 7586182 1413155346","Dolly_Santorini Google Gol Decolar trivago_br","pt",,,,,,,,,,,,,
"x994727040296333313",2018-05-10 23:53:02,"x799783316471824384","lafaeu","@srta_fofa @porra__anninha Se a minha der sorte eu dou um Dolly pra ela","Twitter for Android","x994726796934434816","x3404895501","srta_fofa",FALSE,FALSE,2,0,,,,,,,,,,,,,,"x3404895501 108939971","srta_fofa porra__anninha","pt",,,,,,,,,,,,,
"x994727007043969025",2018-05-10 23:52:54,"x2788464524","Dolly_Santorini","@nanda_giac @Tio_william a minha nova ideia genial tem a ver com isso <f0><U+009F><U+0098><U+0089><f0><U+009F><U+0091><U+0093>","Twitter for Android","x994726766911676416","x3046693269","nanda_giac",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x3046693269 200363304","nanda_giac Tio_william","pt",,,,,,,,,,,,,
"x994726826625904642",2018-05-10 23:52:11,"x2788464524","Dolly_Santorini","@nanda_giac @Google @Gol @Decolar @Decolar @trivago_br ajuda cá galerinha","Twitter for Android","x994726480470036480","x3046693269","nanda_giac",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x3046693269 20536157 2340204248 7586182 7586182 1413155346","nanda_giac Google Gol Decolar Decolar trivago_br","pt",,,,,,,,,,,,,
"x994726766911676416",2018-05-10 23:51:57,"x3046693269","nanda_giac","@Dolly_Santorini @Tio_william Menino, eu vou te encontrar no final de semana assim que eu voltar! Tem a festa da escola. E você não pode faltar, pq aí eu fico sem par!","Twitter for iPhone","x994726541782286336","x3046693269","nanda_giac",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x2788464524 200363304","Dolly_Santorini Tio_william","pt",,,,,,,,,,,,,
"x994726758481002497",2018-05-10 23:51:55,"x965755783450451969","joao_o_0","Dono da Dolly preso por ter se defendido, sonegou 4 bilhões, só bebo Dolly agora kkkkkk","Twitter for Android",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,
"x994726710112288768",2018-05-10 23:51:43,"x2345578405","AlexKegler","Foi o pessoal da coca cola que caguetou...
Pois como o próprio presidente da dolly disse:
Eles botaram um espião para descobrir a nossa fórmula haha... https://t.co/2Be9w1MHcD","Facebook",,,,FALSE,FALSE,0,0,,,"glo.bo/2KTsDeK","https://t.co/2Be9w1MHcD","https://glo.bo/2KTsDeK",,,,,,,,,,,"pt",,,,,,,,,,,,,
"x994726618374524928",2018-05-10 23:51:21,"x2788464524","Dolly_Santorini","@nanda_giac @Tio_william agora sim acabei de ter a idéia do SÉCULO","Twitter for Android","x994726541782286336","x3046693269","nanda_giac",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x3046693269 200363304","nanda_giac Tio_william","pt",,,,,,,,,,,,,
"x994726514825494528",2018-05-10 23:50:56,"x52083212","pedroromualdo","Polícia prende dono da companhia de refrigerantes Dolly por fraude fiscal https://t.co/TMPb7KUiDs","Facebook",,,,FALSE,FALSE,0,0,,,"politica.estadao.com.br/blogs/fausto-m…","https://t.co/TMPb7KUiDs","http://politica.estadao.com.br/blogs/fausto-macedo/policia-prende-dollynho-por-fraude-fiscal/",,,,,,,,,,,"pt",,,,,,,,,,,,,
"x994726339558199296",2018-05-10 23:50:15,"x2788464524","Dolly_Santorini","@nanda_giac @Google @Gol se for você, ajuda aqui","Twitter for Android","x994726215578681345","x3046693269","nanda_giac",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x3046693269 20536157 2340204248","nanda_giac Google Gol","pt",,,,,,,,,,,,,
"x994726215578681345",2018-05-10 23:49:45,"x3046693269","nanda_giac","@Dolly_Santorini @Google Olha, eu não tenho ideia","Twitter for iPhone","x994725848057040897","x2788464524","Dolly_Santorini",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x2788464524 20536157","Dolly_Santorini Google","pt",,,,,,,,,,,,,
"x994726082980012033",2018-05-10 23:49:13,"x2502671535","strangerxgrimes","dolly guaraná o sabor brasileiro https://t.co/U8p9YogEkz","Twitter for iPhone",,,,TRUE,FALSE,0,0,,,"twitter.com/jornaloglobo/s…","https://t.co/U8p9YogEkz","https://twitter.com/jornaloglobo/status/994557462433927169",,,,,,,,,,,"pt","x994557462433927169","Polícia prende dono da companhia de refrigerantes Dolly em SP. https://t.co/dwwMya1X1u https://t.co/R7HX3YBwLX",,,,,,,,,,,
"x994726002311008256",2018-05-10 23:48:54,"x3046693269","nanda_giac","@Dolly_Santorini @Tio_william Mas eu não vou ficar lá pra sempre! Eu volto dia 5...","Twitter for iPhone","x994725765634805761","x2788464524","Dolly_Santorini",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x2788464524 200363304","Dolly_Santorini Tio_william","pt",,,,,,,,,,,,,
"x994725909612679169",2018-05-10 23:48:32,"x704208726","apoli_rafael","prenderam o dolly mas eu continuo aqui soltinho, rs","Twitter for Android",,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,
"x994725857695592448",2018-05-10 23:48:20,"x3046693269","nanda_giac","@Dolly_Santorini @Tio_william O pior é que ele tem Twitter mesmo, crise","Twitter for iPhone","x994725765634805761","x2788464524","Dolly_Santorini",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x2788464524 200363304","Dolly_Santorini Tio_william","pt",,,,,,,,,,,,,
"x994725848057040897",2018-05-10 23:48:17,"x2788464524","Dolly_Santorini","@nanda_giac @Google qual a agência?","Twitter for Android","x994725752288563200","x3046693269","nanda_giac",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x3046693269 20536157","nanda_giac Google","pt",,,,,,,,,,,,,
"x994725835520258049",2018-05-10 23:48:14,"x3371711116","WagnerEsdras","“Preso pela Coca-Cola”, diz dono da Dolly em cartaz https://t.co/DGbUtO2gBA","Twitter Web Client",,,,FALSE,FALSE,0,0,,,"a.msn.com/01/pt-br/AAx5b…","https://t.co/DGbUtO2gBA","http://a.msn.com/01/pt-br/AAx5bd4?ocid=st",,,,,,,,,,,"pt",,,,,,,,,,,,,
"x994725782563016704",2018-05-10 23:48:02,"x791316234834964480","deivitz3","Conversa do dolly com o Lula: “ oi, eu sou o dollynho seu novo amiguinho” https://t.co/4jajUhhpqs","Twitter for iPhone",,,,TRUE,FALSE,0,0,,,"twitter.com/jornaloglobo/s…","https://t.co/4jajUhhpqs","https://twitter.com/jornaloglobo/status/994557462433927169",,,,,,,,,,,"pt","x994557462433927169","Polícia prende dono da companhia de refrigerantes Dolly em SP. https://t.co/dwwMya1X1u https://t.co/R7HX3YBwLX",,,,,,,,,,,
"x994725765634805761",2018-05-10 23:47:58,"x2788464524","Dolly_Santorini","@nanda_giac cancela essa viagem ai @tio_william","Twitter for Android","x994725247768293376","x3046693269","nanda_giac",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x3046693269 200363304","nanda_giac Tio_william","pt",,,,,,,,,,,,,
"x994725752288563200",2018-05-10 23:47:55,"x3046693269","nanda_giac","@Dolly_Santorini @Google Ou pede pra agência de viagem mudar minha passagem","Twitter for iPhone","x994725569060331520","x2788464524","Dolly_Santorini",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x2788464524 20536157","Dolly_Santorini Google","pt",,,,,,,,,,,,,
"x994725705010343937",2018-05-10 23:47:43,"x71642553","raphaelscostarj","Preso por fraudes de até R$ 4 bi, dono da Dolly acusa @CocaCola https://t.co/l6unDW7NOQ Esse safado é mt cara de pau!!!","Twitter Web Client",,,,FALSE,FALSE,0,0,,,"extra.globo.com/noticias/econo…","https://t.co/l6unDW7NOQ","https://extra.globo.com/noticias/economia/preso-por-fraudes-de-ate-4-bi-dono-da-dolly-acusa-coca-cola-22670734.html",,,,,,,,,"x26787673","CocaCola","pt",,,,,,,,,,,,,
"x994725645497364480",2018-05-10 23:47:29,"x40553987","studio877","| Dono do refrigerante Dolly é acusado de #Fraude fiscal de R$ 4 bilhões | https://t.co/hsXNxAdNVZ https://t.co/bJfLRThDrT","studiofmbr",,,,FALSE,FALSE,0,0,"Fraude",,"studio.fm.br/2018/05/dono-d…","https://t.co/hsXNxAdNVZ","https://www.studio.fm.br/2018/05/dono-do-refrigerante-dolly-e-acusado-de-fraude-fiscal-de-r-4-bilhoes/","http://pbs.twimg.com/media/Dc35s3sWkAE74vv.jpg","https://t.co/bJfLRThDrT","https://twitter.com/studio877/status/994725645497364480/photo/1","photo","http://pbs.twimg.com/media/Dc35s3sWkAE74vv.jpg","https://t.co/bJfLRThDrT","https://twitter.com/studio877/status/994725645497364480/photo/1",,,,"pt",,,,,,,,,,,,,
"x994725617332576257",2018-05-10 23:47:22,"x756590041175035905","Gui_Vieira2314","@g1 Esses golpistas malditos!!!!!! Eleição sem Dolly é golpe contra a democracia !!!! #DollyLivre","Twitter Web Client","x994720890242912256","x8802752","g1",FALSE,FALSE,0,0,"DollyLivre",,,,,,,,,,,,,"x8802752","g1","pt",,,,,,,,,,,,,
"x994725569060331520",2018-05-10 23:47:11,"x2788464524","Dolly_Santorini","@nanda_giac @Google  AJUDA A REORGANIZAR MINHA AGENDA","Twitter for Android","x994725464336949251","x2788464524","Dolly_Santorini",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x3046693269 20536157","nanda_giac Google","pt",,,,,,,,,,,,,
"x994725464336949251",2018-05-10 23:46:46,"x2788464524","Dolly_Santorini","@nanda_giac AH MERDA EU TINHA ESQUECIDO","Twitter for Android","x994725247768293376","x3046693269","nanda_giac",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x3046693269","nanda_giac","pt",,,,,,,,,,,,,
"x994725398947729408",2018-05-10 23:46:30,"x2788464524","Dolly_Santorini","pra falar a privacidade acabku quando a gente começou a falsr sobre isso no twitter","Twitter for Android","x994725308455620612","x2788464524","Dolly_Santorini",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,
"x994725308455620612",2018-05-10 23:46:09,"x2788464524","Dolly_Santorini","esse iate realmente não sabe oq significa ""privacidade""","Twitter for Android",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,
"x994725247768293376",2018-05-10 23:45:54,"x3046693269","nanda_giac","@Dolly_Santorini Quando eu estiver em NY a gente conversa","Twitter for iPhone","x994724458807119872","x2788464524","Dolly_Santorini",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x2788464524","Dolly_Santorini","pt",,,,,,,,,,,,,
"x994725148694601728",2018-05-10 23:45:31,"x73254822","AMAROK_LUPPUS","Fraudes da Dolly acumulam R$ 4 bi e já duram ao menos 20 anos, diz Procuradoria https://t.co/5Yakw4NwTV","Twitter Web Client",,,,FALSE,FALSE,0,0,,,"www1.folha.uol.com.br/mercado/2018/0…","https://t.co/5Yakw4NwTV","https://www1.folha.uol.com.br/mercado/2018/05/policia-prende-dono-da-marca-de-refrigerantes-dolly.shtml?utm_source=twitter&utm_medium=social&utm_campaign=comptw",,,,,,,,,,,"pt",,,,,,,,,,,,,
"x994725036937371648",2018-05-10 23:45:04,"x962002889316192256","Olavinha88","Esse cara tinha que ser processado só por fabricar esse treco ruim que é o guaraná Dolly https://t.co/JGBfDS8cRF","Twitter for iPhone",,,,TRUE,FALSE,3,2,,,"twitter.com/g1/status/9947…","https://t.co/JGBfDS8cRF","https://twitter.com/g1/status/994720890242912256",,,,,,,,,,,"pt","x994720890242912256","MP nega alegação de dono da Dolly de perseguição de concorrente https://t.co/T7pNjh7aW4 #G1 https://t.co/I19zkz0npM",,,,,,,,,,,
"x994725019950505984",2018-05-10 23:45:00,"x35873782","portaluai","Defesa do dono da Dolly diz que prisão é 'injusta' e que recorrerá
https://t.co/hCHiShIyw0 https://t.co/wPQbGaKFQS","TweetDeck",,,,FALSE,FALSE,0,1,,,"goo.gl/3u9H5e","https://t.co/hCHiShIyw0","https://goo.gl/3u9H5e","http://pbs.twimg.com/media/Dc3AhnYWsAAUG2b.jpg","https://t.co/wPQbGaKFQS","https://twitter.com/portaluai/status/994725019950505984/photo/1","photo","http://pbs.twimg.com/media/Dc3AhnYWsAAUG2b.jpg","https://t.co/wPQbGaKFQS","https://twitter.com/portaluai/status/994725019950505984/photo/1",,,,"pt",,,,,,,,,,,,,
"x994724757403787264",2018-05-10 23:43:57,"x737490000263151617","ricluiz_","Beatriz rica pra caralho, comprando dolly e askov pra festa dela, Deus ta vendo viu Beatriz mizérenta","Twitter for iPhone",,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,
"x994724672842366976",2018-05-10 23:43:37,"x2788464524","Dolly_Santorini","@nanda_giac mas por mim rolava","Twitter for Android","x994724458807119872","x2788464524","Dolly_Santorini",FALSE,FALSE,0,1,,,,,,,,,,,,,,"x3046693269","nanda_giac","pt",,,,,,,,,,,,,
"x994724644614701056",2018-05-10 23:43:31,"x135956513","Rucoriar","É triste descobrir que até a Dolly está envolvida em fraude neste país. Só falta dizer que a bala Juquinha financia o tráfico!<f0><U+009F><U+0098><U+00A5>","Facebook",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,
"x994724458807119872",2018-05-10 23:42:46,"x2788464524","Dolly_Santorini","@nanda_giac espera chegar + perto do fim do mês","Twitter for Android","x994724284487688195","x3046693269","nanda_giac",FALSE,FALSE,0,1,,,,,,,,,,,,,,"x3046693269","nanda_giac","pt",,,,,,,,,,,,,
"x994724333888172033",2018-05-10 23:42:16,"x2973967036","pedrojuannnnn","@LeilaGermano QQ ele fez que ta geral falando da Dolly e os krl? Eu tô por fora","Twitter for Android","x994719616566988805","x46620476","LeilaGermano",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x46620476","LeilaGermano","pt",,,,,,,,,,,,,
"x994724316418748416",2018-05-10 23:42:12,"x35905993","AparecidoSilva","Dia das mães sem Dolly é golpe. 
#DollyLivre #ospingosnosis

https://t.co/H8Jl6imxZH https://t.co/H8Jl6imxZH","Facebook",,,,TRUE,FALSE,1,1,"DollyLivre ospingosnosis",,"twitter.com/adrianohidalgo… twitter.com/adrianohidalgo…","https://t.co/H8Jl6imxZH https://t.co/H8Jl6imxZH","https://twitter.com/adrianohidalgo/status/994708149251854336 https://twitter.com/adrianohidalgo/status/994708149251854336",,,,,,,,,,,"pt","x994708149251854336","Dia das mães sem Dolly é golpe
#DollyLivre #ospingosnosis https://t.co/xqysK0cmsU",,,,,,,,,,,
"x994724289130704897",2018-05-10 23:42:06,"x75074753","upsideLau","@gvicentao Só dolly bb","Twitter for Android","x994720326968688640","x225206469","gvicentao",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x225206469","gvicentao","pt",,,,,,,,,,,,,
"x994724284487688195",2018-05-10 23:42:05,"x3046693269","nanda_giac","@Dolly_Santorini O que houve com o “por mim rolava”?","Twitter for iPhone","x994723793951186944","x2788464524","Dolly_Santorini",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x2788464524","Dolly_Santorini","pt",,,,,,,,,,,,,
